Seq,CoQ number,CoQ type,Basis date,Issue date,Packaged lot,Cultivation batch,Strain,Grade,iCoA reference,№,Group,Parameter,Параметар,Method / reference,Acceptance criterion,Result,Source document,Document date,Issuing institution,Report series,Status,Performed by,Also on file
61,CoQ-PP-2025-0003,initial release,11.03.2025,≥ 11.05.2026,GG1024,GG1024,Gorilla Glue,II,iCoA-PP-2025-0003,9.7,Microbiological Purity | Микробиолошка Чистота,Staphylococcus aureus,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
62,CoQ-PP-2025-0003,initial release,11.03.2025,≥ 11.05.2026,GG1024,GG1024,Gorilla Glue,II,iCoA-PP-2025-0003,10.1,Mycotoxins | Микотоксини,Aflatoxin B₁,Афлатоксин B₁,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 2 µg/kg,—,—,,,,not tested — no certificate covers it,,
63,CoQ-PP-2025-0003,initial release,11.03.2025,≥ 11.05.2026,GG1024,GG1024,Gorilla Glue,II,iCoA-PP-2025-0003,10.2,Mycotoxins | Микотоксини,Aflatoxins ∑,Афлатоксини ∑ (B₁+B₂+G₁+G₂),Ph. Eur. 2.8.18 (HPLC-FLD),≤ 4 µg/kg,< 2 µg/kg,"n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed)",23.04.2025,IPH / UKIM Faculty of Pharmacy [accredited labs per PP in-house CoA footnote**; lab not attributed per-row],Purely Plant in-house,"in-house CoA only — underlying eCoA NOT on file: locate the physical certificate, scan and upload",,
64,CoQ-PP-2025-0003,initial release,11.03.2025,≥ 11.05.2026,GG1024,GG1024,Gorilla Glue,II,iCoA-PP-2025-0003,10.3,Mycotoxins | Микотоксини,Ochratoxin A,Охратоксин A,Ph. Eur. 2.8.22 (HPLC-FLD),≤ 20 µg/kg,—,—,,,,not tested — no certificate covers it,,
65,CoQ-PP-2025-0003,initial release,11.03.2025,≥ 11.05.2026,GG1024,GG1024,Gorilla Glue,II,iCoA-PP-2025-0003,11.1,Heavy Metals | Тешки метали,Lead (Pb),Олово (Pb),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.5 mg/kg,0.052 mg/kg,"n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed)",23.04.2025,IPH / UKIM Faculty of Pharmacy [accredited labs per PP in-house CoA footnote**; lab not attributed per-row],Purely Plant in-house,"in-house CoA only — underlying eCoA NOT on file: locate the physical certificate, scan and upload",,
66,CoQ-PP-2025-0003,initial release,11.03.2025,≥ 11.05.2026,GG1024,GG1024,Gorilla Glue,II,iCoA-PP-2025-0003,11.2,Heavy Metals | Тешки метали,Cadmium (Cd),Кадмиум (Cd),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.3 mg/kg,0.016 mg/kg,"n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed)",23.04.2025,IPH / UKIM Faculty of Pharmacy [accredited labs per PP in-house CoA footnote**; lab not attributed per-row],Purely Plant in-house,"in-house CoA only — underlying eCoA NOT on file: locate the physical certificate, scan and upload",,
67,CoQ-PP-2025-0003,initial release,11.03.2025,≥ 11.05.2026,GG1024,GG1024,Gorilla Glue,II,iCoA-PP-2025-0003,11.3,Heavy Metals | Тешки метали,Arsenic (As),Арсен (As),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.2 mg/kg,0.04 mg/kg,"n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed)",23.04.2025,IPH / UKIM Faculty of Pharmacy [accredited labs per PP in-house CoA footnote**; lab not attributed per-row],Purely Plant in-house,"in-house CoA only — underlying eCoA NOT on file: locate the physical certificate, scan and upload",,
68,CoQ-PP-2025-0003,initial release,11.03.2025,≥ 11.05.2026,GG1024,GG1024,Gorilla Glue,II,iCoA-PP-2025-0003,11.4,Heavy Metals | Тешки метали,Mercury (Hg),Жива (Hg),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.1 mg/kg,0.004 mg/kg,"n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed)",23.04.2025,IPH / UKIM Faculty of Pharmacy [accredited labs per PP in-house CoA footnote**; lab not attributed per-row],Purely Plant in-house,"in-house CoA only — underlying eCoA NOT on file: locate the physical certificate, scan and upload",,
69,CoQ-PP-2025-0003,initial release,11.03.2025,≥ 11.05.2026,GG1024,GG1024,Gorilla Glue,II,iCoA-PP-2025-0003,12,,Pesticide Residues,Остатоци од пестициди,Ph. Eur. 2.8.13 (LC-MS/MS) · CUMCS Equivalency,≤ LOQ as per Ph. Eur. 2.8.13 · ≤ LOQ as per CUMCS Equivalency,N.D. — all 13 residues,"n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed)",23.04.2025,IPH / UKIM Faculty of Pharmacy [accredited labs per PP in-house CoA footnote**; lab not attributed per-row],Purely Plant in-house,"in-house CoA only — underlying eCoA NOT on file: locate the physical certificate, scan and upload",,
70,CoQ-PP-2025-0004,initial release,11.04.2025,≥ 11.05.2026,HPA1024,HPA1024,High Pro Amnesia,III,iCoA-PP-2025-0004,1,,"Identification A, Appearance · Macroscopic","Идентиф. A, Изглед, Макроскопски",Ph. Eur. mon. 3028,Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
71,CoQ-PP-2025-0004,initial release,11.04.2025,≥ 11.05.2026,HPA1024,HPA1024,High Pro Amnesia,III,iCoA-PP-2025-0004,2,,Identification B · Microscopic,Идентиф. Б · Микроскопски,Ph. Eur. 2.8.23 (microscopy),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
72,CoQ-PP-2025-0004,initial release,11.04.2025,≥ 11.05.2026,HPA1024,HPA1024,High Pro Amnesia,III,iCoA-PP-2025-0004,3,,Identification C · HPLC/HPTLC,Идентиф. Ц · HPLC/HPTLC,Ph. Eur. 2.2.29 (3028),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,Conforms — cannabinoids identified and quantified by HPLC | Соодветствува — идентификација и квантификација со HPLC,"n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed)",23.01.2025,Purely Plant GmbH (in-house),Purely Plant in-house,covered,,
73,CoQ-PP-2025-0004,initial release,11.04.2025,≥ 11.05.2026,HPA1024,HPA1024,High Pro Amnesia,III,iCoA-PP-2025-0004,4,,Assay — Total Δ⁹-THC,Анализа — вкупен Δ⁹-THC,Ph. Eur. 2.2.29 (HPLC),"16.20 – 19.79 %  (grade III, class THC 18, nominal 18.00 ± 1.80)",14.97,"n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed)",23.01.2025,Purely Plant GmbH (in-house),Purely Plant in-house,covered,,17.31 (197-13-К/26)
74,CoQ-PP-2025-0004,initial release,11.04.2025,≥ 11.05.2026,HPA1024,HPA1024,High Pro Amnesia,III,iCoA-PP-2025-0004,5,,Assay — Total CBD,Анализа — вкупен CBD,Ph. Eur. 2.2.29 (HPLC) · CBD + CBDA x 0.877,"≤ 1.0%, w/w",0.04,"n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed)",23.01.2025,Purely Plant GmbH (in-house),Purely Plant in-house,covered,,<LOQ (197-13-К/26)
75,CoQ-PP-2025-0004,initial release,11.04.2025,≥ 11.05.2026,HPA1024,HPA1024,High Pro Amnesia,III,iCoA-PP-2025-0004,6,,Total CBN,Вкупен CBN,Ph. Eur. 2.2.29 (HPLC) · CBN + CBNA x 0.876,"≤ 1.0%, w/w",—,—,,,,not tested — no certificate covers it,,0.36 (197-13-К/26)
76,CoQ-PP-2025-0004,initial release,11.04.2025,≥ 11.05.2026,HPA1024,HPA1024,High Pro Amnesia,III,iCoA-PP-2025-0004,7,,Foreign Matter,Страни материи,Ph. Eur. 2.8.2 · In-house · интерна,"≤ 2.0% / 25–50 g · < 1 cm leaves | листови, no seeds | без семки",—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Foreign matter,
77,CoQ-PP-2025-0004,initial release,11.04.2025,≥ 11.05.2026,HPA1024,HPA1024,High Pro Amnesia,III,iCoA-PP-2025-0004,8,,Loss on Drying,Губиток при сушење,"Ph. Eur. 2.2.32 (3028) · at 40 °C, 24 h, 15–25 mbar",≤ 12.0%,—,—,,,,not tested — no certificate covers it,,
78,CoQ-PP-2025-0004,initial release,11.04.2025,≥ 11.05.2026,HPA1024,HPA1024,High Pro Amnesia,III,iCoA-PP-2025-0004,9.1,Microbiological Purity | Микробиолошка Чистота,TAMC,Вкупен аеробен микробен број,Ph. Eur. 2.6.12 cat. C,≤ 10⁵ CFU/g,5.2·10^4,"n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed)",23.01.2025,Purely Plant GmbH (in-house),Purely Plant in-house,covered,,
79,CoQ-PP-2025-0004,initial release,11.04.2025,≥ 11.05.2026,HPA1024,HPA1024,High Pro Amnesia,III,iCoA-PP-2025-0004,9.2,Microbiological Purity | Микробиолошка Чистота,TYMC,Вкупен број квасци/мувли,Ph. Eur. 2.6.12 cat. C,≤ 10⁴ CFU/g,7·10^2,"n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed)",23.01.2025,Purely Plant GmbH (in-house),Purely Plant in-house,covered,,
80,CoQ-PP-2025-0004,initial release,11.04.2025,≥ 11.05.2026,HPA1024,HPA1024,High Pro Amnesia,III,iCoA-PP-2025-0004,9.3,Microbiological Purity | Микробиолошка Чистота,Bile-tolerant gram-neg.,Жолчно-толерантни грам-нег.,Ph. Eur. 2.6.31 cat. C,≤ 10⁴ CFU/g,<10,"n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed)",23.01.2025,Purely Plant GmbH (in-house),Purely Plant in-house,covered — laboratory finding recorded,,
81,CoQ-PP-2025-0004,initial release,11.04.2025,≥ 11.05.2026,HPA1024,HPA1024,High Pro Amnesia,III,iCoA-PP-2025-0004,9.4,Microbiological Purity | Микробиолошка Чистота,Salmonella,Салмонела,Ph. Eur. 2.6.31 cat. C,Absence | Отсуство / 25 g,Absent,"n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed)",23.01.2025,Purely Plant GmbH (in-house),Purely Plant in-house,covered,,
82,CoQ-PP-2025-0004,initial release,11.04.2025,≥ 11.05.2026,HPA1024,HPA1024,High Pro Amnesia,III,iCoA-PP-2025-0004,9.5,Microbiological Purity | Микробиолошка Чистота,Escherichia coli,Ешерихија коли,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,Absent,"n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed)",23.01.2025,Purely Plant GmbH (in-house),Purely Plant in-house,covered,,
83,CoQ-PP-2025-0004,initial release,11.04.2025,≥ 11.05.2026,HPA1024,HPA1024,High Pro Amnesia,III,iCoA-PP-2025-0004,9.6,Microbiological Purity | Микробиолошка Чистота,Pseudomonas aeruginosa,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
84,CoQ-PP-2025-0004,initial release,11.04.2025,≥ 11.05.2026,HPA1024,HPA1024,High Pro Amnesia,III,iCoA-PP-2025-0004,9.7,Microbiological Purity | Микробиолошка Чистота,Staphylococcus aureus,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
85,CoQ-PP-2025-0004,initial release,11.04.2025,≥ 11.05.2026,HPA1024,HPA1024,High Pro Amnesia,III,iCoA-PP-2025-0004,10.1,Mycotoxins | Микотоксини,Aflatoxin B₁,Афлатоксин B₁,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 2 µg/kg,—,—,,,,not tested — no certificate covers it,,ND (197-13-М/26)
86,CoQ-PP-2025-0004,initial release,11.04.2025,≥ 11.05.2026,HPA1024,HPA1024,High Pro Amnesia,III,iCoA-PP-2025-0004,10.2,Mycotoxins | Микотоксини,Aflatoxins ∑,Афлатоксини ∑ (B₁+B₂+G₁+G₂),Ph. Eur. 2.8.18 (HPLC-FLD),≤ 4 µg/kg,< 2,"n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed)",23.01.2025,Purely Plant GmbH (in-house),Purely Plant in-house,covered,,ND (197-13-М/26)
87,CoQ-PP-2025-0004,initial release,11.04.2025,≥ 11.05.2026,HPA1024,HPA1024,High Pro Amnesia,III,iCoA-PP-2025-0004,10.3,Mycotoxins | Микотоксини,Ochratoxin A,Охратоксин A,Ph. Eur. 2.8.22 (HPLC-FLD),≤ 20 µg/kg,—,—,,,,not tested — no certificate covers it,,<LOQ (197-13-М/26)
88,CoQ-PP-2025-0004,initial release,11.04.2025,≥ 11.05.2026,HPA1024,HPA1024,High Pro Amnesia,III,iCoA-PP-2025-0004,11.1,Heavy Metals | Тешки метали,Lead (Pb),Олово (Pb),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.5 mg/kg,0.02,"n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed)",23.01.2025,Purely Plant GmbH (in-house),Purely Plant in-house,covered,,
89,CoQ-PP-2025-0004,initial release,11.04.2025,≥ 11.05.2026,HPA1024,HPA1024,High Pro Amnesia,III,iCoA-PP-2025-0004,11.2,Heavy Metals | Тешки метали,Cadmium (Cd),Кадмиум (Cd),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.3 mg/kg,0.013,"n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed)",23.01.2025,Purely Plant GmbH (in-house),Purely Plant in-house,covered,,
90,CoQ-PP-2025-0004,initial release,11.04.2025,≥ 11.05.2026,HPA1024,HPA1024,High Pro Amnesia,III,iCoA-PP-2025-0004,11.3,Heavy Metals | Тешки метали,Arsenic (As),Арсен (As),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.2 mg/kg,0.017,"n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed)",23.01.2025,Purely Plant GmbH (in-house),Purely Plant in-house,covered,,
91,CoQ-PP-2025-0004,initial release,11.04.2025,≥ 11.05.2026,HPA1024,HPA1024,High Pro Amnesia,III,iCoA-PP-2025-0004,11.4,Heavy Metals | Тешки метали,Mercury (Hg),Жива (Hg),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.1 mg/kg,0.0026,"n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed)",23.01.2025,Purely Plant GmbH (in-house),Purely Plant in-house,covered,,
92,CoQ-PP-2025-0004,initial release,11.04.2025,≥ 11.05.2026,HPA1024,HPA1024,High Pro Amnesia,III,iCoA-PP-2025-0004,12,,Pesticide Residues,Остатоци од пестициди,Ph. Eur. 2.8.13 (LC-MS/MS) · CUMCS Equivalency,≤ LOQ as per Ph. Eur. 2.8.13 · ≤ LOQ as per CUMCS Equivalency,N.D.,"n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed)",23.01.2025,Purely Plant GmbH (in-house),Purely Plant in-house,covered,,
93,CoQ-PP-2025-0005,initial release,24.04.2025,≥ 11.05.2026,OPM1024,OPM1024,Orange Punch Mimosa,I,iCoA-PP-2025-0005,1,,"Identification A, Appearance · Macroscopic","Идентиф. A, Изглед, Макроскопски",Ph. Eur. mon. 3028,Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
94,CoQ-PP-2025-0005,initial release,24.04.2025,≥ 11.05.2026,OPM1024,OPM1024,Orange Punch Mimosa,I,iCoA-PP-2025-0005,2,,Identification B · Microscopic,Идентиф. Б · Микроскопски,Ph. Eur. 2.8.23 (microscopy),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
95,CoQ-PP-2025-0005,initial release,24.04.2025,≥ 11.05.2026,OPM1024,OPM1024,Orange Punch Mimosa,I,iCoA-PP-2025-0005,3,,Identification C · HPLC/HPTLC,Идентиф. Ц · HPLC/HPTLC,Ph. Eur. 2.2.29 (3028),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,Conforms — cannabinoids identified and quantified by HPLC | Соодветствува — идентификација и квантификација со HPLC,"n/a — Purely Plant in-house CoA (Batch OPM1024, no certificate/report number printed)",23.04.2025,Purely Plant GmbH (in-house),Purely Plant in-house,covered,,
96,CoQ-PP-2025-0005,initial release,24.04.2025,≥ 11.05.2026,OPM1024,OPM1024,Orange Punch Mimosa,I,iCoA-PP-2025-0005,4,,Assay — Total Δ⁹-THC,Анализа — вкупен Δ⁹-THC,Ph. Eur. 2.2.29 (HPLC),"19.80 – 24.19 %  (grade I, class THC 22, nominal 22.00 ± 2.20)",19.96,"n/a — Purely Plant in-house CoA (Batch OPM1024, no certificate/report number printed)",23.04.2025,Purely Plant GmbH (in-house),Purely Plant in-house,covered,,20.03 (197-17-К/26)
97,CoQ-PP-2025-0005,initial release,24.04.2025,≥ 11.05.2026,OPM1024,OPM1024,Orange Punch Mimosa,I,iCoA-PP-2025-0005,5,,Assay — Total CBD,Анализа — вкупен CBD,Ph. Eur. 2.2.29 (HPLC) · CBD + CBDA x 0.877,"≤ 1.0%, w/w",0.05,"n/a — Purely Plant in-house CoA (Batch OPM1024, no certificate/report number printed)",23.04.2025,Purely Plant GmbH (in-house),Purely Plant in-house,covered,,<LOQ (197-17-К/26)
98,CoQ-PP-2025-0005,initial release,24.04.2025,≥ 11.05.2026,OPM1024,OPM1024,Orange Punch Mimosa,I,iCoA-PP-2025-0005,6,,Total CBN,Вкупен CBN,Ph. Eur. 2.2.29 (HPLC) · CBN + CBNA x 0.876,"≤ 1.0%, w/w",—,—,,,,not tested — no certificate covers it,,<LOQ (197-17-К/26)
99,CoQ-PP-2025-0005,initial release,24.04.2025,≥ 11.05.2026,OPM1024,OPM1024,Orange Punch Mimosa,I,iCoA-PP-2025-0005,7,,Foreign Matter,Страни материи,Ph. Eur. 2.8.2 · In-house · интерна,"≤ 2.0% / 25–50 g · < 1 cm leaves | листови, no seeds | без семки",—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Foreign matter,
100,CoQ-PP-2025-0005,initial release,24.04.2025,≥ 11.05.2026,OPM1024,OPM1024,Orange Punch Mimosa,I,iCoA-PP-2025-0005,8,,Loss on Drying,Губиток при сушење,"Ph. Eur. 2.2.32 (3028) · at 40 °C, 24 h, 15–25 mbar",≤ 12.0%,—,—,,,,not tested — no certificate covers it,,
101,CoQ-PP-2025-0005,initial release,24.04.2025,≥ 11.05.2026,OPM1024,OPM1024,Orange Punch Mimosa,I,iCoA-PP-2025-0005,9.1,Microbiological Purity | Микробиолошка Чистота,TAMC,Вкупен аеробен микробен број,Ph. Eur. 2.6.12 cat. C,≤ 10⁵ CFU/g,1.3·10^4,"n/a — Purely Plant in-house CoA (Batch OPM1024, no certificate/report number printed)",23.04.2025,Purely Plant GmbH (in-house),Purely Plant in-house,covered,,
102,CoQ-PP-2025-0005,initial release,24.04.2025,≥ 11.05.2026,OPM1024,OPM1024,Orange Punch Mimosa,I,iCoA-PP-2025-0005,9.2,Microbiological Purity | Микробиолошка Чистота,TYMC,Вкупен број квасци/мувли,Ph. Eur. 2.6.12 cat. C,≤ 10⁴ CFU/g,7·10^2,"n/a — Purely Plant in-house CoA (Batch OPM1024, no certificate/report number printed)",23.04.2025,Purely Plant GmbH (in-house),Purely Plant in-house,covered,,
103,CoQ-PP-2025-0005,initial release,24.04.2025,≥ 11.05.2026,OPM1024,OPM1024,Orange Punch Mimosa,I,iCoA-PP-2025-0005,9.3,Microbiological Purity | Микробиолошка Чистота,Bile-tolerant gram-neg.,Жолчно-толерантни грам-нег.,Ph. Eur. 2.6.31 cat. C,≤ 10⁴ CFU/g,<10²>10³,"n/a — Purely Plant in-house CoA (Batch OPM1024, no certificate/report number printed)",23.04.2025,Purely Plant GmbH (in-house),Purely Plant in-house,covered — laboratory finding recorded,,
104,CoQ-PP-2025-0005,initial release,24.04.2025,≥ 11.05.2026,OPM1024,OPM1024,Orange Punch Mimosa,I,iCoA-PP-2025-0005,9.4,Microbiological Purity | Микробиолошка Чистота,Salmonella,Салмонела,Ph. Eur. 2.6.31 cat. C,Absence | Отсуство / 25 g,Absent,"n/a — Purely Plant in-house CoA (Batch OPM1024, no certificate/report number printed)",23.04.2025,Purely Plant GmbH (in-house),Purely Plant in-house,covered,,
